16:54:34: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
16:54:36: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:37: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:39: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:40: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:41: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:42: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:43: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:44: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:45: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:46: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:48: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:50: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:52: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:54: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
16:54:55: [WARNING] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Missed a heartbeat
