16:54:33: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
16:54:34: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | main | 112] Connected!
16:54:34: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:35: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:36: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:36: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:37: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:37: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:38: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:39: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:40: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:41: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:42: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:43: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Disconnected
16:54:44: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Disconnected
16:54:45: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Disconnected
16:54:46: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Disconnected
16:54:47: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:48: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:48: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:49: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:50: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:50: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:51: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:52: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:53: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:54: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
16:54:55: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_heartbeat_receiver.py | read_queue | 71] Connected
