11:32:31: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 45] Logger initialized
11:32:31: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:32: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:35: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:35: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:36: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:36: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:37: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:37: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:38: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:38: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:39: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:39: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:40: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:40: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:41: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:41: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:42: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:42: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:43: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:43: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:44: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:44: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:45: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:45: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:46: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:46: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
11:32:50: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\command_drone.py | main | 83] Passed!
