11:32:31: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
11:32:32: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 0.0, 4.0) m/s
11:32:32: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 0.0, 1.1999999999999993) m/s
11:32:33: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 0.0, 0.5333333333333338) m/s
11:32:33: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 0.0, 0.5) m/s
11:32:34: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 0.0, 0.4) m/s
11:32:34: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 0.0, 0.3333333333333333) m/s
11:32:35: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 0.0, 0.2857142857142857) m/s
11:32:35: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (2.5, 0.0, 0.25) m/s
11:32:36: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (4.444444444444445, 0.0, 0.2222222222222222) m/s
11:32:36: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (6.0, 0.0, 0.2) m/s
11:32:37: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (5.454545454545454, 1.8181818181818181, 0.18181818181818182) m/s
11:32:37: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (5.0, 3.3333333333333335, 0.16666666666666666) m/s
11:32:38: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385) m/s
11:32:38: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (2.857142857142857, 4.285714285714286, 0.14285714285714285) m/s
11:32:39: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (1.3333333333333333, 4.0, 0.13333333333333333) m/s
11:32:39: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 3.75, 0.125) m/s
11:32:40: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 2.3529411764705883, 0.11764705882352941) m/s
11:32:40: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 1.1111111111111112, 0.1111111111111111) m/s
11:32:41: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 0.0, 0.10526315789473684) m/s
11:32:41: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.0, 1.0, 0.1) m/s
