11:32:30: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
11:32:31: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | main | 132] Connected!
11:32:31: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE ALTITUDE: 1
11:32:32: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE ALTITUDE: -1
11:32:35: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 63.43494882292201
11:32:35: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 90.0
11:32:36: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 116.56505117707799
11:32:36: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 45.0
11:32:37: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 63.43494882292201
11:32:37: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 90.0
11:32:38: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 26.565051177077976
11:32:38: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 45.0
11:32:39: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 90.0
11:32:39: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 45.0
11:32:40: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 90.0
11:32:40: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: 135.0
11:32:41: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -26.565051177077994
11:32:41: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -45.0
11:32:42: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -90.0
11:32:42: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -45.0
11:32:43: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -90.0
11:32:43: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -135.0
11:32:44: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -63.43494882292201
11:32:44: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -90.0
11:32:45: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -116.565051177078
11:32:45: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -45.0
11:32:46: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -63.43494882292201
11:32:46: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE YAW: -90.0
