10:00:47: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | main | 45] Logger initialized
10:00:47: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 0
10:00:47: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 0
10:00:47: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 1
10:00:48: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 1
10:00:48: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 2
10:00:48: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 3
10:00:48: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 2
10:00:48: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
10:00:49: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 3
10:00:49: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
10:00:49: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
10:00:49: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 4
10:00:49: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
10:00:50: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
10:00:50: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
10:00:50: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 9
10:00:50: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 6
10:00:50: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 10
10:00:51: [INFO] [C:\Users\ZhaoLo\projects\bootcamp\autonomy-2025-p2\tests\integration\mock_drones\telemetry_drone.py | send_telemetry | 95] Drone: Sent position 7
